env_steps,mean_return,std_return,wallclock_s
1,-1409.5488635656807,101.978598573189,1.305337905883789
1001,-1673.593160090883,74.9458097634273,9.660890817642212
2001,-1045.2212510074446,19.746483562202794,18.649492979049683
3001,-801.5280843238348,494.0592913076042,27.70660638809204
4001,-149.3143220918995,50.367124444836236,36.70781707763672
5001,-147.8484997124377,51.109227571973996,45.793813943862915
6001,-122.21765256664898,2.8920824185143004,54.95158410072327
7001,-121.44919606398639,2.939051680747973,64.21813678741455
8001,-120.7512480908118,3.021337870734029,73.37643265724182
9001,-120.23651068122282,2.8528287124358664,82.48054456710815
10001,-120.13384754676531,2.8188302301939094,91.55513453483582
11001,-121.10834048522263,2.7374831031737936,100.50426888465881
12001,-120.34001958266158,2.56528959937327,109.34185361862183
13001,-120.04882636631473,2.6135022132165693,118.34263753890991
14001,-119.7885531003504,2.5390082151960245,127.28444027900696
15001,-120.19252487294087,2.6350101854848345,136.28764271736145
16001,-120.074950901585,2.5219829866444514,145.3570318222046
17001,-119.9667733679535,2.7437933117553106,154.37471175193787
18001,-120.56687330479562,2.9204054022946875,163.36879873275757
19001,-120.53837885721171,2.924507650080519,172.42740178108215
20000,-120.22273400222227,3.0200428308234724,181.47920775413513
